symbol,year,quarter,reaction_date
AAPL,2024,4,2024-10-31
UUUU,2025,3,2025-11-04
UUUU,2025,2,2025-08-07
UUUU,2025,1,2025-05-08
UUUU,2024,4,2025-02-27
UUUU,2024,3,2024-11-01
AAPL,2025,4,2025-10-30
MSFT,2026,1,2025-10-29
AMZN,2025,3,2025-10-30
GOOGL,2025,3,2025-10-29
GOOG,2025,3,2025-10-29
META,2025,3,2025-10-29
TSLA,2025,3,2025-10-22
AVGO,2025,3,2025-09-04
META,2024,2,2024-07-31
APP,2025,3,2025-11-05
HTZ,2025,3,2025-11-04
ORCL,2026,1,2025-09-09
WMT,2025,4,2025-02-20
KEYS,2025,4,2025-11-24
NVDA,2026,3,2025-11-19
IBM,2025,3,2025-10-22
IBM,2025,2,2025-07-23
SCND,2024,1,2024-05-16
INTC,2025,3,2025-10-23
JCI,2024,2,2024-05-01
GM,2025,3,2025-10-21
AMD,2025,3,2025-11-04
AMD,2025,2,2025-08-05
AMD,2025,1,2025-05-06
AMD,2024,4,2025-02-04
AMD,2024,3,2024-10-29
CSCO,2026,1,2025-11-12
CSCO,2025,4,2025-08-13
CSCO,2025,3,2025-05-14
CSCO,2025,2,2025-02-12
CSCO,2025,1,2024-11-13
QCOM,2025,4,2025-11-05
NFLX,2025,3,2025-10-21
PEP,2025,3,2025-10-09
PEP,2025,1,2025-04-24
PEP,2024,4,2025-02-04
PEP,2024,3,2024-10-08
KO,2025,3,2025-10-21
KO,2025,2,2025-07-22
KO,2025,1,2025-04-29
KO,2024,4,2025-02-11
KO,2024,3,2024-10-23
MCD,2025,3,2025-11-05
MCD,2025,2,2025-08-06
MCD,2025,1,2025-05-01
MCD,2024,4,2025-02-10
MCD,2024,3,2024-10-29
DIS,2025,4,2025-11-13
DIS,2025,3,2025-08-06
DIS,2025,2,2025-05-07
DIS,2025,1,2025-02-05
DIS,2024,4,2024-11-14
NKE,2026,1,2025-09-30
NKE,2025,4,2025-06-26
NKE,2025,3,2025-03-20
NKE,2025,2,2024-12-19
NKE,2025,1,2024-10-01
COST,2025,4,2025-09-25
COST,2025,3,2025-05-29
COST,2025,2,2025-03-06
COST,2024,4,2024-09-26
WMT,2026,3,2025-11-20
WMT,2026,2,2025-08-21
WMT,2026,1,2025-05-15
WMT,2025,3,2024-11-19
HD,2026,3,2025-11-18
HD,2025,3,2025-11-18
HD,2025,2,2025-08-19
HD,2025,1,2025-05-20
HD,2024,4,2025-02-25
PG,2026,1,2025-10-24
PG,2025,4,2025-07-29
PG,2025,3,2025-04-24
PG,2025,2,2025-01-22
PG,2025,1,2024-10-18
JNJ,2025,3,2025-10-14
JNJ,2025,2,2025-07-16
JNJ,2025,1,2025-04-15
JNJ,2024,4,2025-01-22
JNJ,2024,3,2024-10-15
PFE,2025,3,2025-11-04
PFE,2025,2,2025-08-05
PFE,2025,1,2025-04-29
PFE,2024,4,2025-02-04
PFE,2024,3,2024-10-29
JPM,2025,3,2025-10-14
JPM,2025,2,2025-07-15
JPM,2025,1,2025-04-11
JPM,2024,4,2025-01-15
JPM,2024,3,2024-10-11
BAC,2025,3,2025-10-15
BAC,2025,2,2025-07-16
BAC,2025,1,2025-04-15
BAC,2024,4,2025-01-16
BAC,2024,3,2024-10-15
WFC,2025,3,2025-10-14
WFC,2025,2,2025-07-15
WFC,2025,1,2025-04-11
WFC,2024,4,2025-01-15
WFC,2024,3,2024-10-11
GS,2025,3,2025-10-14
GS,2025,2,2025-07-16
GS,2025,1,2025-04-14
GS,2024,4,2025-01-15
GS,2024,3,2024-10-15
AAPL,2024,3,2024-08-01
AAPL,2024,2,2024-05-02
AAPL,2024,1,2024-02-01
AAPL,2023,4,2023-11-02
FFIV,2024,1,2024-01-29
JCI,2024,1,2024-01-30
MU,2025,4,2025-09-23
LVS,2024,2,2024-07-24
LVS,2024,1,2024-04-17
PYPL,2025,3,2025-10-28
NVDA,2026,2,2025-08-27
LVS,2023,4,2024-01-24
NVDA,2026,1,2025-05-28
SHOP,2025,3,2025-11-04
NVDA,2025,4,2025-02-26
NVDA,2025,3,2024-11-20
PM,2024,4,2025-02-06
UBER,2025,3,2025-11-04
PM,2024,3,2024-10-22
WST,2025,3,2025-10-23
HSIC,2025,3,2025-11-04
HSIC,2025,2,2025-08-05
PM,2024,2,2024-07-23
MSFT,2024,2,2024-01-30
HSIC,2025,1,2025-05-05
PM,2024,1,2024-04-23
HSIC,2024,4,2025-02-25
PM,2023,4,2024-02-11
HSIC,2024,3,2024-11-05
XYL,2025,2,2025-07-31
DIS,2024,3,2024-08-07
MSFT,2024,1,2023-10-24
DIS,2024,2,2024-05-07
MPWR,2025,2,2025-07-31
MSFT,2023,4,2023-07-25
AAPL,2025,2,2025-05-01
TTD,2024,3,2024-11-07
FISV,2025,2,2025-07-23
ORCL,2025,4,2025-06-11
NVDA,2024,4,2024-02-21
TSLA,2024,4,2025-01-29
MPWR,2025,1,2025-05-01
NVDA,2024,3,2023-11-21
WYNN,2024,4,2025-02-13
WYNN,2024,3,2024-11-04
MPWR,2024,4,2025-02-06
WYNN,2024,2,2024-08-06
BEN,2025,1,2025-01-31
BEN,2024,4,2024-11-04
MPWR,2024,3,2024-10-30
WYNN,2024,1,2024-05-07
NVDA,2024,2,2023-08-23
NVDA,2024,1,2023-05-24
TSLA,2024,3,2024-10-23
TTD,2024,2,2024-08-08
NVDA,2023,4,2023-02-22
TSLA,2024,2,2024-07-24
TTD,2024,1,2024-05-08
ALLE,2025,1,2025-04-24
ALLE,2024,4,2025-02-18
GOOGL,2024,4,2025-02-04
MPWR,2024,2,2024-08-01
BEN,2024,3,2024-07-26
CEG,2025,1,2025-05-06
CEG,2024,3,2024-11-04
ALLE,2024,3,2024-10-24
GOOGL,2024,3,2024-10-29
BEN,2024,2,2024-04-29
GOOGL,2024,2,2024-07-23
TSLA,2024,1,2024-04-23
GOOGL,2024,1,2024-04-25
ALLE,2024,2,2024-07-24
WYNN,2023,4,2024-02-07
CEG,2024,2,2024-08-06
BEN,2024,1,2024-01-29
GOOGL,2023,4,2024-01-30
CEG,2024,1,2024-05-09
AMZN,2024,4,2025-02-06
AMZN,2024,3,2024-10-31
AMZN,2024,2,2024-08-01
TSLA,2023,4,2024-01-24
TTD,2023,4,2024-02-15
FISV,2025,1,2025-04-24
AMZN,2024,1,2024-04-30
INCY,2025,2,2025-07-29
INCY,2025,1,2025-04-29
ALLE,2024,1,2024-04-25
CEG,2023,4,2024-02-27
INCY,2024,4,2025-02-10
AMZN,2023,4,2024-02-01
ORCL,2025,2,2024-12-09
TTD,2023,3,2023-11-09
FISV,2024,4,2025-02-05
INCY,2024,3,2024-10-29
ORCL,2025,1,2024-09-09
FISV,2024,3,2024-10-22
INCY,2024,2,2024-07-30
ORCL,2024,4,2024-06-11
WDC,2025,4,2025-07-30
ORCL,2024,3,2024-03-11
SWKS,2024,3,2024-07-30
TTD,2025,2,2025-08-07
ORCL,2025,3,2025-03-10
WDC,2025,3,2025-04-30
WDC,2025,2,2025-01-29
ORCL,2024,2,2023-12-11
SWKS,2024,2,2024-04-30
TTD,2025,1,2025-05-08
EBAY,2024,3,2024-10-30
ANET,2024,4,2025-02-18
DHI,2024,4,2024-10-29
IDXX,2025,2,2025-08-04
SWKS,2024,1,2024-01-30
TTD,2024,4,2025-02-12
CHRW,2025,1,2025-04-30
KEYS,2025,3,2025-08-19
SWKS,2023,4,2023-11-02
ALGN,2025,2,2025-07-30
CHRW,2024,4,2025-01-29
WDC,2025,1,2024-10-24
IDXX,2025,1,2025-05-01
KEYS,2025,2,2025-05-20
KEYS,2025,1,2025-02-25
IDXX,2024,4,2025-02-03
SWKS,2023,3,2023-08-07
CHRW,2024,3,2024-10-30
WDC,2024,4,2024-07-31
IDXX,2024,3,2024-10-31
IDXX,2024,2,2024-08-06
ALGN,2025,1,2025-04-30
CHRW,2024,2,2024-07-31
PWR,2025,1,2025-05-01
PWR,2024,4,2025-02-20
UNH,2024,3,2024-10-15
ALGN,2024,4,2025-02-05
CHRW,2024,1,2024-05-01
NRG,2025,1,2025-05-12
KEYS,2024,4,2024-11-19
NRG,2024,4,2025-02-26
UNH,2024,2,2024-07-16
ALGN,2024,3,2024-10-23
GNRC,2025,2,2025-07-30
NRG,2024,3,2024-11-08
NRG,2024,2,2024-08-08
KR,2025,1,2025-06-20
KR,2024,4,2025-03-06
APP,2024,4,2025-02-12
UNH,2024,1,2024-04-16
APP,2024,3,2024-11-06
NRG,2024,1,2024-05-07
UNH,2023,4,2024-01-12
APP,2024,2,2024-08-07
UNH,2023,3,2023-10-13
APP,2024,1,2024-05-08
PWR,2024,3,2024-10-31
CRM,2026,2,2025-09-03
PWR,2024,2,2024-08-01
APP,2023,4,2024-02-14
DAL,2025,1,2025-04-09
ALGN,2024,2,2024-07-24
EBAY,2024,2,2024-07-31
KR,2024,3,2024-12-05
ADBE,2025,3,2025-09-11
PWR,2024,1,2024-05-02
KR,2024,2,2024-09-13
AMAT,2025,4,2025-11-13
KR,2024,1,2024-06-20
TXN,2025,3,2025-10-21
DAL,2024,4,2025-01-10
GNRC,2025,1,2025-04-30
EBAY,2024,1,2024-05-01
ANET,2024,3,2024-11-07
DHI,2024,3,2024-07-18
LW,2024,4,2024-07-24
NOW,2024,3,2024-10-23
NKE,2024,2,2023-12-21
GM,2024,2,2024-07-23
GEV,2025,3,2025-10-22
ABNB,2024,4,2025-02-13
FSLR,2025,1,2025-04-29
ISRG,2024,4,2025-01-23
IBM,2024,3,2024-10-23
PLTR,2024,4,2025-02-03
SNPS,2025,2,2025-05-28
PLTR,2024,3,2024-11-04
DDOG,2025,3,2025-11-06
SNPS,2025,1,2025-02-26
PLTR,2024,2,2024-08-05
DDOG,2025,2,2025-08-07
SNPS,2024,4,2024-12-04
GNRC,2024,4,2025-02-12
EBAY,2023,4,2024-02-27
PLTR,2024,1,2024-05-06
DDOG,2025,1,2025-05-06
SNPS,2024,3,2024-08-21
PLTR,2023,4,2024-02-05
DDOG,2024,4,2025-02-13
SNPS,2024,2,2024-05-22
DDOG,2024,3,2024-11-07
WST,2024,4,2025-02-13
WST,2025,2,2025-07-24
IT,2025,2,2025-08-05
WST,2024,3,2024-10-24
WST,2025,1,2025-04-24
IT,2025,1,2025-05-06
GNRC,2024,3,2024-10-31
CHRW,2025,3,2025-10-29
WST,2024,2,2024-07-25
IT,2024,4,2025-02-04
GNRC,2024,2,2024-07-31
CHRW,2025,2,2025-07-30
WST,2024,1,2024-04-25
JBHT,2025,3,2025-10-15
IT,2024,3,2024-11-05
WST,2023,4,2024-02-15
JBHT,2025,2,2025-07-15
IT,2024,2,2024-07-30
APP,2023,3,2023-11-08
JBHT,2025,1,2025-04-15
SWKS,2024,4,2024-11-12
STX,2025,2,2025-01-21
IQV,2024,4,2025-02-06
PLTR,2023,3,2023-11-02
JBHT,2024,4,2025-01-16
STX,2025,1,2024-10-22
IQV,2024,3,2024-10-31
STX,2024,4,2024-07-23
JBHT,2024,3,2024-10-15
IQV,2024,2,2024-07-22
BAX,2025,2,2025-07-31
ANET,2024,2,2024-07-30
DHI,2024,2,2024-04-18
LW,2024,3,2024-04-04
DG,2025,2,2025-08-28
NKE,2024,1,2023-09-28
GM,2024,1,2024-04-23
GEV,2025,2,2025-07-23
DAL,2024,3,2024-10-10
BAX,2025,1,2025-05-01
STX,2024,3,2024-04-23
IQV,2024,1,2024-05-02
DAL,2024,2,2024-07-11
STX,2024,2,2024-01-24
PODD,2025,1,2025-05-08
BAX,2024,4,2025-02-20
IQV,2023,4,2024-02-14
ANET,2024,1,2024-05-07
DHI,2024,1,2024-01-23
LW,2024,2,2024-01-04
DG,2025,1,2025-06-03
CAH,2025,1,2024-11-01
IDXX,2024,1,2024-05-01
GEV,2025,1,2025-04-23
DAL,2024,1,2024-04-10
AAPL,2025,1,2025-01-30
DAL,2023,4,2024-01-12
PODD,2024,4,2025-02-20
BAX,2024,3,2024-11-08
DHI,2023,4,2023-11-08
LW,2024,1,2023-10-05
DG,2024,4,2025-03-13
CAH,2024,4,2024-08-14
CVS,2025,1,2025-05-01
IDXX,2023,4,2024-02-05
GEV,2024,4,2025-01-22
ABNB,2024,3,2024-11-07
FSLR,2024,4,2025-02-25
TTWO,2025,1,2024-08-08
ISRG,2024,3,2024-10-17
ULTA,2025,1,2025-05-29
IBM,2024,2,2024-07-24
DOW,2024,1,2024-04-25
VRTX,2024,2,2024-08-01
DECK,2024,4,2024-05-23
MSFT,2024,4,2024-07-30
DAL,2023,3,2023-10-12
PODD,2024,3,2024-11-07
BAX,2024,2,2024-08-06
CRL,2025,1,2025-05-07
EXPE,2025,1,2025-05-08
MGM,2024,4,2025-02-12
LW,2023,4,2023-07-25
DG,2024,3,2024-12-05
CAH,2024,3,2024-05-02
CVS,2024,4,2025-02-12
GEV,2024,3,2024-10-23
ABNB,2024,2,2024-08-06
FSLR,2024,3,2024-10-29
TTWO,2024,4,2024-05-16
ISRG,2024,2,2024-07-18
ULTA,2024,4,2025-03-13
IBM,2024,1,2024-04-24
DOW,2023,4,2024-01-25
FTNT,2024,4,2025-02-06
VRTX,2024,1,2024-05-06
DECK,2024,3,2024-02-01
XYL,2024,2,2024-07-30
LULU,2024,3,2024-12-05
ARE,2025,2,2025-07-22
LULU,2025,1,2025-06-05
CHTR,2024,4,2025-01-31
HII,2025,1,2025-05-01
SMCI,2025,1,2024-11-05
CMG,2024,4,2025-02-04
XYL,2023,4,2024-02-06
DASH,2024,1,2024-05-01
CI,2024,4,2025-01-30
CRL,2024,4,2025-02-19
EXPE,2024,4,2025-02-06
MSFT,2024,3,2024-04-25
MGM,2024,3,2024-10-30
NRG,2023,4,2024-02-28
PODD,2024,2,2024-08-08
UNH,2025,1,2025-04-17
AXON,2025,2,2025-08-04
DG,2024,2,2024-08-29
CAH,2024,2,2024-02-01
CVS,2024,3,2024-11-06
AKAM,2024,4,2025-02-20
HAS,2024,2,2024-07-25
TTWO,2024,3,2024-02-08
ULTA,2024,3,2024-12-05
HAS,2025,3,2025-10-23
FTNT,2024,3,2024-11-07
VRTX,2023,4,2024-02-05
DECK,2024,2,2023-10-26
XYL,2024,1,2024-05-02
LULU,2024,2,2024-08-29
ARE,2025,1,2025-04-29
SRE,2025,1,2025-05-08
FISV,2024,2,2024-07-24
CHTR,2024,3,2024-11-01
HII,2024,4,2025-02-06
SMCI,2024,4,2024-08-06
CMG,2024,3,2024-10-29
BDX,2025,1,2025-02-06
LKQ,2025,2,2025-07-24
DASH,2023,4,2024-02-15
CI,2024,3,2024-10-31
STZ,2025,1,2024-07-03
COIN,2024,3,2024-10-30
EME,2024,3,2024-10-31
EL,2024,3,2024-05-01
EBAY,2025,2,2025-07-31
TPR,2025,1,2024-11-07
ON,2025,1,2025-05-05
NTAP,2023,4,2023-05-31
NCLH,2024,1,2024-05-01
VTRS,2025,1,2025-05-08
ZBH,2025,1,2025-05-05
DXCM,2025,2,2025-07-30
COO,2024,2,2024-05-30
GDDY,2025,2,2025-08-07
LLY,2025,3,2025-10-30
NCLH,2025,1,2025-04-30
ZBH,2025,3,2025-11-05
IQV,2025,1,2025-05-06
EFX,2024,2,2024-07-18
BAX,2025,3,2025-10-30
GDDY,2024,1,2024-05-02
IBM,2023,4,2024-01-24
DHI,2025,2,2025-04-17
HAS,2023,4,2024-02-13
DOW,2025,3,2025-10-23
LW,2025,1,2024-10-02
DASH,2025,2,2025-08-06
NOW,2024,1,2024-04-24
CAH,2025,3,2025-05-01
COIN,2025,2,2025-07-31
ABNB,2023,4,2024-02-13
FTNT,2025,2,2025-08-06
GM,2025,2,2025-07-22
VRTX,2025,1,2025-05-05
GEV,2024,2,2024-07-25
ON,2025,2,2025-08-04
TTWO,2025,3,2025-02-06
SMCI,2025,4,2025-08-05
DG,2024,1,2024-05-30
STZ,2025,2,2024-10-03
TPR,2025,3,2025-05-08
SJM,2025,4,2025-06-11
UPS,2024,1,2024-04-23
ADBE,2025,1,2025-03-12
ZTS,2024,4,2025-02-13
AAPL,2025,3,2025-07-31
PODD,2024,1,2024-05-09
NRG,2023,3,2023-11-02
UNH,2024,4,2025-01-16
CRL,2024,3,2024-11-06
EXPE,2024,3,2024-11-07
MGM,2024,2,2024-07-31
AXON,2025,1,2025-05-07
DXCM,2024,4,2025-02-13
CAH,2024,1,2023-11-03
CVS,2024,2,2024-08-07
AKAM,2024,3,2024-11-07
